Key Indicator,Constituent ID,Age,Preferred State,Gift Date,Gift Amount,Fund Split Amount,Fund Description,Campaign Description,Total Amount of Gifts_1,Gift Total Number of Gifts_1,Gift Payment Type,Gift Batch Description,First Gift Date,First Gift Amount,Last Gift Date,Last Gift Amount
"Individual","41868","50","New Jersey","1/15/2019","$50.00","$50.00","331-Unrestricted","New Campaign","$50.00","1","Credit Card","NetCommunity Donations","7/7/1998","$20.00","10/30/2024","$100.00"
"Individual","46090","46","New Jersey","5/3/2021","$100.00","$100.00","331-Unrestricted","New Campaign","$300.00","3","Credit Card","NetCommunity Donations","1/12/2005","$100.00","11/16/2024","$102.87"
"Individual","46090","46","New Jersey","12/15/2020","$100.00","$100.00","331-Unrestricted","New Campaign","$300.00","3","Credit Card","","1/12/2005","$100.00","11/16/2024","$102.87"
"Individual","46090","46","New Jersey","12/17/2021","$100.00","$100.00","331-Unrestricted","New Campaign","$300.00","3","Credit Card","NetCommunity Donations","1/12/2005","$100.00","11/16/2024","$102.87"
"Individual","36381","54","New Jersey","3/15/2022","$100.00","$100.00","331-Unrestricted","New Campaign","$100.00","1","Credit Card","NetCommunity Donations","3/15/2022","$100.00","3/15/2022","$100.00"
"Individual","36524","70","New Jersey","10/15/2023","$100.00","$100.00","331-Unrestricted","New Campaign","$550.00","4","Credit Card","NetCommunity Donations","4/29/1999","$25.00","9/25/2024","$100.00"
"Individual","48403","49","New Jersey","4/6/2022","$50.00","$50.00","331-Unrestricted","New Campaign","$50.00","1","Credit Card","","11/17/2008","$0.01","4/6/2022","$50.00"
"Individual","16910","86","New Jersey","7/31/2023","$50.00","$50.00","331-Unrestricted","New Campaign","$1,580.00","5","Credit Card","NetCommunity Event Registration Fees","1/1/1960","$610.00","8/11/2024","$50.00"
"Individual","406115","","Virginia","2/10/2022","$100.00","$100.00","331-Unrestricted","New Campaign","$100.00","1","Credit Card","NetCommunity Event Registration Fees","2/10/2022","$100.00","2/10/2022","$100.00"
"Individual","386315","","New Jersey","11/19/2018","$25.00","$25.00","331-Unrestricted","New Campaign","$25.00","1","Credit Card","NetCommunity Event Registration Fees","11/19/2018","$25.00","11/19/2018","$25.00"
"Individual","106901","44","New Jersey","6/3/2020","$25.00","$25.00","331-Unrestricted","New Campaign","$75.00","2","Credit Card","NetCommunity Donations","10/28/2014","$20.00","5/1/2022","$50.00"
"Individual","106901","44","New Jersey","5/1/2022","$50.00","$50.00","331-Unrestricted","New Campaign","$75.00","2","Credit Card","NetCommunity Donations","10/28/2014","$20.00","5/1/2022","$50.00"
"Individual","43863","53","New Jersey","3/25/2022","$100.00","$100.00","331-Unrestricted","New Campaign","$150.00","2","Credit Card","NetCommunity Donations","3/25/2022","$100.00","3/27/2022","$50.00"
"Individual","47354","62","New Jersey","4/9/2020","$103.40","$103.40","331-Unrestricted","New Campaign","$103.40","1","Credit Card","Mobile Cause 4/9/20","11/21/2008","$0.01","4/9/2020","$103.40"
"Individual","47072","48","New Jersey","6/3/2020","$853.95","$753.95","331-Unrestricted","New Campaign","$3,803.30","27","Credit Card","NetCommunity Donations","6/30/2003","$25.00","11/21/2024","$50.00"
"Individual","410272","","New Jersey","5/2/2024","$100.00","$100.00","331-Unrestricted","New Campaign","$100.00","1","Credit Card","NetCommunity Donations","5/2/2024","$100.00","5/2/2024","$100.00"
"Individual","394417","34","New Jersey","5/2/2024","$5.00","$5.00","331-Unrestricted","New Campaign","$684.55","131","Credit Card","NetCommunity Donations","4/27/2016","$25.00","12/1/2024","$5.14"
"Individual","394417","34","New Jersey","5/30/2024","$5.00","$5.00","331-Unrestricted","New Campaign","$684.55","131","Credit Card","NetCommunity Donations","4/27/2016","$25.00","12/1/2024","$5.14"
"Individual","13493","74","New Jersey","6/5/2024","$100.00","$100.00","331-Unrestricted","New Campaign","$678.40","9","Credit Card","NetCommunity Donations","6/30/1974","$25.00","7/24/2024","$25.00"
"Individual","394417","34","New Jersey","6/6/2024","$5.00","$5.00","331-Unrestricted","New Campaign","$684.55","131","Credit Card","NetCommunity Donations","4/27/2016","$25.00","12/1/2024","$5.14"
"Individual","394920","62","New Jersey","6/29/2024","$85.00","$85.00","331-Unrestricted","New Campaign","$7,029.28","13","Credit Card","Recurring gift batch","4/11/2016","$25.00","12/2/2024","$85.00"
"Individual","394417","34","New Jersey","6/13/2024","$5.00","$5.00","331-Unrestricted","New Campaign","$684.55","131","Credit Card","NetCommunity Donations","4/27/2016","$25.00","12/1/2024","$5.14"
"Individual","5596","","New Jersey","6/5/2024","$50.00","$50.00","331-Unrestricted","New Campaign","$9,350.42","86","Credit Card","Recurring gifts","6/30/1970","$25.00","12/2/2024","$100.00"
"Individual","394920","62","New Jersey","6/5/2024","$85.00","$85.00","331-Unrestricted","New Campaign","$7,029.28","13","Credit Card","Recurring gifts","4/11/2016","$25.00","12/2/2024","$85.00"
"Individual","406649","","New Jersey","5/20/2024","$125.00","$125.00","331-Unrestricted","New Campaign","$485.00","4","Credit Card","NetCommunity Donations","4/28/2022","$135.00","6/20/2024","$125.00"
"Individual","14452","81","New Jersey","5/20/2024","$50.00","$50.00","331-Unrestricted","New Campaign","$80.00","2","Credit Card","NetCommunity Donations","6/30/1969","$20.00","5/20/2024","$50.00"
"Individual","384393","39","New York","5/21/2024","$250.00","$250.00","331-Unrestricted","New Campaign","$1,050.00","5","Credit Card","NetCommunity Donations","12/14/2007","$25.00","5/21/2024","$250.00"
"Individual","394417","34","New Jersey","5/23/2024","$5.00","$5.00","331-Unrestricted","New Campaign","$684.55","131","Credit Card","NetCommunity Donations","4/27/2016","$25.00","12/1/2024","$5.14"
"Individual","19358","","Rhode Island","12/26/2019","$100.00","$100.00","331-Unrestricted","New Campaign","$300.00","3","Credit Card","","1/1/1960","$50.00","10/24/2024","$100.00"
"Individual","19358","","Rhode Island","12/28/2020","$100.00","$100.00","331-Unrestricted","New Campaign","$300.00","3","Credit Card","NetCommunity Donations","1/1/1960","$50.00","10/24/2024","$100.00"
"Individual","380792","72","New Jersey","6/27/2019","$75.00","$75.00","331-Unrestricted","New Campaign","$175.00","2","Credit Card","NetCommunity Donations","4/13/2009","$100.00","10/3/2019","$100.00"
"Individual","20145","","New York","10/17/2018","$250.00","$250.00","331-Unrestricted","New Campaign","$1,000.00","4","Credit Card","NetCommunity Donations","1/1/1960","$5.00","9/18/2024","$250.00"
"Individual","20145","","New York","6/28/2020","$250.00","$250.00","331-Unrestricted","New Campaign","$1,000.00","4","Credit Card","NetCommunity Donations","1/1/1960","$5.00","9/18/2024","$250.00"
"Individual","20145","","New York","10/5/2023","$250.00","$250.00","331-Unrestricted","New Campaign","$1,000.00","4","Credit Card","NetCommunity Donations","1/1/1960","$5.00","9/18/2024","$250.00"
"Individual","20145","","New York","8/22/2022","$250.00","$250.00","331-Unrestricted","New Campaign","$1,000.00","4","Credit Card","","1/1/1960","$5.00","9/18/2024","$250.00"
"Individual","393314","55","New Jersey","11/27/2018","$50.00","$50.00","331-Unrestricted","New Campaign","$50.00","1","Credit Card","NetCommunity Donations","5/14/2014","$5.00","11/27/2018","$50.00"
"Individual","15462","64","Massachusetts","2/18/2020","$50.00","$50.00","331-Unrestricted","New Campaign","$275.64","6","Credit Card","NetCommunity Donations","6/30/1983","$30.00","11/1/2024","$100.00"
"Individual","15462","64","Massachusetts","10/18/2023","$50.00","$50.00","331-Unrestricted","New Campaign","$275.64","6","Credit Card","NetCommunity Donations","6/30/1983","$30.00","11/1/2024","$100.00"
"Individual","15462","64","Massachusetts","3/25/2023","$50.00","$50.00","331-Unrestricted","New Campaign","$275.64","6","Credit Card","NetCommunity Donations","6/30/1983","$30.00","11/1/2024","$100.00"
"Individual","393074","34","New Jersey","3/11/2019","$20.00","$20.00","331-Unrestricted","New Campaign","$20.00","1","Credit Card","NetCommunity Donations","5/9/2014","$5.00","3/11/2019","$20.00"
"Individual","17620","92","New York","4/28/2021","$150.00","$150.00","331-Unrestricted","New Campaign","$600.00","4","Credit Card","","1/1/1960","$105.00","4/13/2023","$150.00"
"Individual","17620","92","New York","7/16/2019","$150.00","$150.00","331-Unrestricted","New Campaign","$600.00","4","Credit Card","","1/1/1960","$105.00","4/13/2023","$150.00"
"Individual","17620","92","New York","4/1/2020","$150.00","$150.00","331-Unrestricted","New Campaign","$600.00","4","Credit Card","NetCommunity Donations","1/1/1960","$105.00","4/13/2023","$150.00"
"Individual","17620","92","New York","1/26/2022","$150.00","$150.00","331-Unrestricted","New Campaign","$600.00","4","Credit Card","NetCommunity Donations","1/1/1960","$105.00","4/13/2023","$150.00"
"Individual","392626","","Utah","12/8/2021","$25.00","$25.00","331-Unrestricted","New Campaign","$295.00","8","Credit Card","","5/15/2014","$50.00","5/8/2024","$20.00"
"Individual","392626","","Utah","11/1/2019","$25.00","$25.00","331-Unrestricted","New Campaign","$295.00","8","Credit Card","","5/15/2014","$50.00","5/8/2024","$20.00"
"Individual","392626","","Utah","11/8/2018","$100.00","$100.00","331-Unrestricted","New Campaign","$295.00","8","Credit Card","NetCommunity Donations","5/15/2014","$50.00","5/8/2024","$20.00"
"Individual","392626","","Utah","5/8/2024","$20.00","$20.00","331-Unrestricted","New Campaign","$295.00","8","Credit Card","NetCommunity Donations","5/15/2014","$50.00","5/8/2024","$20.00"
"Individual","392287","","New Jersey","12/8/2023","$250.00","$250.00","331-Unrestricted","New Campaign","$250.00","1","Credit Card","NetCommunity Donations","6/17/2015","$3,000.00","12/8/2023","$250.00"
"Individual","392626","","Utah","4/19/2022","$25.00","$25.00","331-Unrestricted","New Campaign","$295.00","8","Credit Card","","5/15/2014","$50.00","5/8/2024","$20.00"
"Individual","9253","","New Jersey","8/23/2021","$1,000.00","$500.00","331-Unrestricted","New Campaign","$4,025.64","4","Credit Card","","6/30/1977","$15.00","1/25/2024","$7,500.00"
"Individual","389474","","New Hampshire","10/27/2021","$150.00","$150.00","331-Unrestricted","New Campaign","$300.00","4","Credit Card","NetCommunity Donations","5/17/2012","$1,400.00","5/28/2024","$100.00"
"Individual","14440","","New Jersey","12/10/2020","$100.00","$100.00","331-Unrestricted","New Campaign","$876.28","8","Credit Card","","6/30/1973","$5.00","11/14/2023","$100.00"
"Individual","7868","64","New Jersey","11/1/2018","$25.00","$25.00","331-Unrestricted","New Campaign","$45.00","2","Credit Card","NetCommunity Event Registration Fees","12/14/1992","$100.00","8/23/2022","$5,000.00"
"Individual","7868","64","New Jersey","8/12/2021","$20.00","$20.00","331-Unrestricted","New Campaign","$45.00","2","Credit Card","NetCommunity Event Registration Fees","12/14/1992","$100.00","8/23/2022","$5,000.00"
"Individual","48242","","New Jersey","2/17/2022","$25.00","$25.00","331-Unrestricted","New Campaign","$736.00","26","Credit Card","","8/27/2002","$10.00","10/8/2024","$35.00"
"Individual","14440","","New Jersey","11/13/2019","$100.00","$100.00","331-Unrestricted","New Campaign","$876.28","8","Credit Card","","6/30/1973","$5.00","11/14/2023","$100.00"
"Individual","14440","","New Jersey","3/5/2019","$100.00","$100.00","331-Unrestricted","New Campaign","$876.28","8","Credit Card","","6/30/1973","$5.00","11/14/2023","$100.00"
"Individual","14440","","New Jersey","11/14/2023","$100.00","$100.00","331-Unrestricted","New Campaign","$876.28","8","Credit Card","NetCommunity Donations","6/30/1973","$5.00","11/14/2023","$100.00"
"Individual","48336","40","New Jersey","4/8/2019","$25.00","$25.00","331-Unrestricted","New Campaign","$375.00","4","Credit Card","NetCommunity Donations","10/27/2010","$25.00","6/26/2024","$100.00"
"Individual","48336","40","New Jersey","6/26/2024","$100.00","$100.00","331-Unrestricted","New Campaign","$375.00","4","Credit Card","NetCommunity Donations","10/27/2010","$25.00","6/26/2024","$100.00"
"Individual","48336","40","New Jersey","4/5/2022","$150.00","$150.00","331-Unrestricted","New Campaign","$375.00","4","Credit Card","","10/27/2010","$25.00","6/26/2024","$100.00"
"Individual","34371","54","New Jersey","12/8/2023","$100.00","$100.00","331-Unrestricted","New Campaign","$600.00","2","Credit Card","NetCommunity Donations","5/10/1994","$50.00","12/8/2023","$100.00"
"Individual","14798","60","New Jersey","6/28/2019","$1,000.00","$1,000.00","331-Unrestricted","New Campaign","$2,600.00","8","Credit Card","NetCommunity Donations","4/14/1993","$90.00","6/30/2023","$250.00"
"Individual","14798","60","New Jersey","6/30/2023","$250.00","$250.00","331-Unrestricted","New Campaign","$2,600.00","8","Credit Card","NetCommunity Donations","4/14/1993","$90.00","6/30/2023","$250.00"
"Individual","48242","","New Jersey","8/3/2020","$25.00","$25.00","331-Unrestricted","New Campaign","$736.00","26","Credit Card","","8/27/2002","$10.00","10/8/2024","$35.00"
"Individual","388446","37","New Jersey","12/9/2020","$1,008.00","$1,008.00","331-Unrestricted","New Campaign","$3,589.00","4","Credit Card","NetCommunity Donations","6/5/2012","$20.00","1/19/2022","$6,000.00"
"Individual","388592","37","New Jersey","4/6/2022","$150.00","$150.00","331-Unrestricted","New Campaign","$150.00","1","Credit Card","","4/6/2022","$150.00","4/6/2022","$150.00"
"Individual","388623","55","New York","6/6/2024","$50.00","$50.00","331-Unrestricted","New Campaign","$50.00","1","Credit Card","NetCommunity Donations","4/6/2016","$35.00","12/2/2024","$50.00"
"Individual","388623","55","New York","6/29/2024","$50.00","$50.00","331-Unrestricted","New Campaign","$50.00","1","Credit Card","Recurring gift batch","4/6/2016","$35.00","12/2/2024","$50.00"
"Individual","48242","","New Jersey","2/22/2024","$30.00","$30.00","331-Unrestricted","New Campaign","$736.00","26","Credit Card","NetCommunity Donations","8/27/2002","$10.00","10/8/2024","$35.00"
"Individual","48242","","New Jersey","11/2/2023","$35.00","$35.00","331-Unrestricted","New Campaign","$736.00","26","Credit Card","used for recurring batch #2023-313","8/27/2002","$10.00","10/8/2024","$35.00"
"Individual","48242","","New Jersey","12/26/2019","$25.00","$25.00","331-Unrestricted","New Campaign","$736.00","26","Credit Card","","8/27/2002","$10.00","10/8/2024","$35.00"
"Individual","48242","","New Jersey","4/26/2019","$25.00","$25.00","331-Unrestricted","New Campaign","$736.00","26","Credit Card","","8/27/2002","$10.00","10/8/2024","$35.00"
"Individual","48242","","New Jersey","7/22/2019","$25.00","$25.00","331-Unrestricted","New Campaign","$736.00","26","Credit Card","","8/27/2002","$10.00","10/8/2024","$35.00"
"Individual","48242","","New Jersey","1/11/2019","$25.00","$25.00","331-Unrestricted","New Campaign","$736.00","26","Credit Card","December Postmark","8/27/2002","$10.00","10/8/2024","$35.00"
"Individual","48242","","New Jersey","4/10/2024","$36.00","$36.00","331-Unrestricted","New Campaign","$736.00","26","Credit Card","SPD Gifts as of 4.16.24","8/27/2002","$10.00","10/8/2024","$35.00"
"Individual","48242","","New Jersey","5/8/2024","$30.00","$30.00","331-Unrestricted","New Campaign","$736.00","26","Credit Card","NetCommunity Donations","8/27/2002","$10.00","10/8/2024","$35.00"
"Individual","48242","","New Jersey","12/8/2020","$25.00","$25.00","331-Unrestricted","New Campaign","$736.00","26","Credit Card","","8/27/2002","$10.00","10/8/2024","$35.00"
"Individual","48242","","New Jersey","7/8/2021","$25.00","$25.00","331-Unrestricted","New Campaign","$736.00","26","Credit Card","","8/27/2002","$10.00","10/8/2024","$35.00"
"Individual","48242","","New Jersey","4/27/2023","$25.00","$25.00","331-Unrestricted","New Campaign","$736.00","26","Credit Card","","8/27/2002","$10.00","10/8/2024","$35.00"
"Individual","48242","","New Jersey","4/4/2023","$35.00","$35.00","331-Unrestricted","New Campaign","$736.00","26","Credit Card","NetCommunity Donations","8/27/2002","$10.00","10/8/2024","$35.00"
"Individual","48242","","New Jersey","8/19/2022","$30.00","$30.00","331-Unrestricted","New Campaign","$736.00","26","Credit Card","","8/27/2002","$10.00","10/8/2024","$35.00"
"Individual","48242","","New Jersey","11/29/2022","$25.00","$25.00","331-Unrestricted","New Campaign","$736.00","26","Credit Card","NetCommunity Donations","8/27/2002","$10.00","10/8/2024","$35.00"
"Individual","48242","","New Jersey","3/26/2022","$25.00","$25.00","331-Unrestricted","New Campaign","$736.00","26","Credit Card","NetCommunity Donations","8/27/2002","$10.00","10/8/2024","$35.00"
"Individual","383684","38","New Jersey","6/28/2023","$1,000.00","$1,000.00","331-Unrestricted","New Campaign","$2,400.00","3","Credit Card","NetCommunity Donations","4/3/2008","$28.00","6/28/2023","$1,000.00"
"Individual","6013","67","New Jersey","4/27/2021","$25.00","$25.00","331-Unrestricted","New Campaign","$100.00","4","Credit Card","NetCommunity Donations","6/30/1983","$10.00","12/2/2024","$25.00"
"Individual","6013","67","New Jersey","12/17/2021","$25.00","$25.00","331-Unrestricted","New Campaign","$100.00","4","Credit Card","NetCommunity Donations","6/30/1983","$10.00","12/2/2024","$25.00"
"Individual","46099","45","New Jersey","4/9/2020","$51.70","$51.70","331-Unrestricted","New Campaign","$554.26","5","Credit Card","Mobile Cause 4/9/20","2/12/2001","$50.00","6/30/2023","$150.00"
"Individual","12943","79","South Carolina","10/12/2022","$100.00","$100.00","331-Unrestricted","New Campaign","$500.00","5","Credit Card","NetCommunity Donations","1/1/1960","$50.00","12/3/2024","$102.87"
"Individual","1565","83","Missouri","11/19/2020","$200.00","$200.00","331-Unrestricted","New Campaign","$950.00","3","Credit Card","NetCommunity Donations","6/30/1968","$10.00","6/20/2024","$5,000.00"
"Individual","1565","83","Missouri","9/29/2020","$250.00","$250.00","331-Unrestricted","New Campaign","$950.00","3","Credit Card","NetCommunity Donations","6/30/1968","$10.00","6/20/2024","$5,000.00"
"Individual","1565","83","Missouri","3/30/2022","$500.00","$500.00","331-Unrestricted","New Campaign","$950.00","3","Credit Card","","6/30/1968","$10.00","6/20/2024","$5,000.00"
"Individual","100100","","New Jersey","4/13/2020","$25.00","$25.00","331-Unrestricted","New Campaign","$25.00","1","Credit Card","Mobile Cause - 4/13/2020","4/13/2020","$25.00","4/13/2020","$25.00"
"Individual","25804","48","Florida","3/27/2022","$25.00","$25.00","331-Unrestricted","New Campaign","$25.00","1","Credit Card","NetCommunity Donations","9/5/2001","$10.00","3/27/2022","$25.00"
"Individual","384153","39","New Jersey","11/28/2023","$50.00","$50.00","331-Unrestricted","New Campaign","$50.00","1","Credit Card","Almabase - Giving Tuesday","2/12/2009","$25.00","11/28/2023","$50.00"
"Individual","10106","","New Jersey","6/30/2021","$250.00","$250.00","331-Unrestricted","New Campaign","$2,918.40","14","Credit Card","NetCommunity Donations","6/30/1973","$50.00","4/10/2024","$250.00"
"Individual","10106","","New Jersey","4/13/2020","$103.40","$103.40","331-Unrestricted","New Campaign","$2,918.40","14","Credit Card","Mobile Cause - 4/13/2020","6/30/1973","$50.00","4/10/2024","$250.00"
"Individual","46053","48","Virginia","11/19/2019","$50.00","$50.00","331-Unrestricted","New Campaign","$50.00","1","Credit Card","NetCommunity Donations","10/13/2004","$25.00","11/19/2019","$50.00"
"Individual","387556","36","New Jersey","4/1/2020","$50.00","$50.00","331-Unrestricted","New Campaign","$100.00","2","Credit Card","NetCommunity Donations","3/17/2011","$50.00","4/1/2020","$50.00"
"Individual","387556","36","New Jersey","10/28/2019","$50.00","$50.00","331-Unrestricted","New Campaign","$100.00","2","Credit Card","NetCommunity Donations","3/17/2011","$50.00","4/1/2020","$50.00"
"Individual","47213","44","New Jersey","4/6/2022","$250.00","$250.00","331-Unrestricted","New Campaign","$1,955.12","6","Credit Card","","4/10/2002","$100.00","11/28/2023","$100.00"
"Individual","47213","44","New Jersey","6/21/2023","$2,000.00","$1,000.00","331-Unrestricted","New Campaign","$1,955.12","6","Credit Card","NetCommunity Donations","4/10/2002","$100.00","11/28/2023","$100.00"
"Individual","9253","","New Jersey","4/6/2022","$1,000.00","$1,000.00","331-Unrestricted","New Campaign","$4,025.64","4","Credit Card","","6/30/1977","$15.00","1/25/2024","$7,500.00"
"Individual","38914","66","Maryland","12/14/2021","$200.00","$200.00","331-Unrestricted","New Campaign","$650.00","3","Credit Card","NetCommunity Donations","5/4/1995","$25.00","12/2/2024","$200.00"
"Individual","38914","66","Maryland","6/22/2020","$250.00","$250.00","331-Unrestricted","New Campaign","$650.00","3","Credit Card","NetCommunity Donations","5/4/1995","$25.00","12/2/2024","$200.00"
"Individual","38914","66","Maryland","10/19/2022","$200.00","$200.00","331-Unrestricted","New Campaign","$650.00","3","Credit Card","","5/4/1995","$25.00","12/2/2024","$200.00"
"Individual","388446","37","New Jersey","12/21/2021","$1,008.00","$504.00","331-Unrestricted","New Campaign","$3,589.00","4","Credit Card","NetCommunity Donations","6/5/2012","$20.00","1/19/2022","$6,000.00"
"Individual","388446","37","New Jersey","11/11/2019","$1,008.00","$504.00","331-Unrestricted","New Campaign","$3,589.00","4","Credit Card","NetCommunity Donations","6/5/2012","$20.00","1/19/2022","$6,000.00"
"Individual","388446","37","New Jersey","2/8/2019","$3,024.00","$1,512.00","331-Unrestricted","New Campaign","$3,589.00","4","Credit Card","","6/5/2012","$20.00","1/19/2022","$6,000.00"
"Individual","10805","63","New Jersey","4/9/2020","$258.50","$258.50","331-Unrestricted","New Campaign","$4,172.02","11","Credit Card","Mobile Cause 4/9/20","6/30/1986","$25.00","4/6/2022","$100.00"
"Individual","12860","","Virginia","10/29/2018","$1,000.00","$1,000.00","331-Unrestricted","New Campaign","$3,000.00","3","Credit Card","NetCommunity Donations","1/1/1960","$150.00","3/27/2024","$1,000.00"
"Individual","384343","38","New Jersey","4/14/2020","$150.00","$150.00","331-Unrestricted","New Campaign","$250.00","2","Credit Card","NetCommunity Donations","4/24/2008","$10.00","4/14/2020","$150.00"
"Individual","100258","43","Pennsylvania","11/8/2021","$50.00","$50.00","331-Unrestricted","New Campaign","$100.00","2","Credit Card","NetCommunity Donations","11/8/2021","$50.00","3/23/2022","$50.00"
"Individual","385651","51","New Jersey","11/11/2019","$25.00","$25.00","331-Unrestricted","New Campaign","$100.00","3","Credit Card","NetCommunity Donations","10/10/2012","$20.00","1/15/2024","$50.00"
"Individual","385651","51","New Jersey","11/8/2018","$25.00","$25.00","331-Unrestricted","New Campaign","$100.00","3","Credit Card","NetCommunity Donations","10/10/2012","$20.00","1/15/2024","$50.00"
"Individual","385651","51","New Jersey","1/15/2024","$50.00","$50.00","331-Unrestricted","New Campaign","$100.00","3","Credit Card","NetCommunity Donations","10/10/2012","$20.00","1/15/2024","$50.00"
"Individual","386029","54","New Jersey","12/29/2022","$50.00","$50.00","331-Unrestricted","New Campaign","$50.00","1","Credit Card","NetCommunity Donations","12/11/2014","$25.00","12/29/2022","$50.00"
"Individual","48359","44","New Jersey","3/30/2020","$100.00","$100.00","331-Unrestricted","New Campaign","$400.00","4","Credit Card","Mobile Cause 3-30 ","12/6/2019","$100.00","12/3/2024","$100.00"
"Individual","48359","44","New Jersey","3/6/2021","$100.00","$100.00","331-Unrestricted","New Campaign","$400.00","4","Credit Card","NetCommunity Donations","12/6/2019","$100.00","12/3/2024","$100.00"
"Individual","6185","63","New Jersey","11/30/2021","$250.00","$250.00","331-Unrestricted","New Campaign","$250.00","1","Credit Card","NetCommunity Donations","9/14/2011","$20.00","11/30/2021","$250.00"
"Individual","12943","79","South Carolina","11/15/2021","$100.00","$100.00","331-Unrestricted","New Campaign","$500.00","5","Credit Card","NetCommunity Donations","1/1/1960","$50.00","12/3/2024","$102.87"
"Individual","12943","79","South Carolina","12/6/2020","$100.00","$100.00","331-Unrestricted","New Campaign","$500.00","5","Credit Card","NetCommunity Donations","1/1/1960","$50.00","12/3/2024","$102.87"
"Individual","9774","","Florida","11/30/2021","$150.00","$150.00","331-Unrestricted","New Campaign","$955.59","8","Credit Card","","6/30/1970","$50.00","4/6/2024","$154.31"
"Individual","383859","","New Jersey","10/6/2020","$50.00","$50.00","331-Unrestricted","New Campaign","$50.00","1","Credit Card","","5/15/2008","$25.00","4/12/2021","$25.00"
"Individual","15382","83","Illinois","1/12/2022","$750.00","$750.00","331-Unrestricted","New Campaign","$3,750.00","5","Credit Card","","1/1/1960","$10.00","2/13/2024","$4,052.00"
"Individual","100641","51","Nevada","3/19/2023","$250.00","$250.00","331-Unrestricted","New Campaign","$250.00","1","Credit Card","NetCommunity Donations","3/23/2021","$100.00","10/10/2024","$150.00"
"Individual","9774","","Florida","12/27/2022","$100.00","$100.00","331-Unrestricted","New Campaign","$955.59","8","Credit Card","NetCommunity Donations","6/30/1970","$50.00","4/6/2024","$154.31"
"Individual","18379","81","New Hampshire","4/4/2020","$250.00","$250.00","331-Unrestricted","New Campaign","$750.00","2","Credit Card","Mobile Cause - 4/4/2020","1/1/1960","$25.00","10/4/2024","$250.00"
"Individual","38728","51","New York","12/31/2019","$250.00","$250.00","331-Unrestricted","New Campaign","$1,500.00","5","Credit Card","NetCommunity Donations","5/16/1995","$50.00","11/14/2024","$250.00"
"Individual","38728","51","New York","12/6/2018","$500.00","$500.00","331-Unrestricted","New Campaign","$1,500.00","5","Credit Card","NetCommunity Donations","5/16/1995","$50.00","11/14/2024","$250.00"
"Individual","38728","51","New York","10/31/2023","$250.00","$250.00","331-Unrestricted","New Campaign","$1,500.00","5","Credit Card","NetCommunity Donations","5/16/1995","$50.00","11/14/2024","$250.00"
"Individual","38728","51","New York","12/18/2020","$250.00","$250.00","331-Unrestricted","New Campaign","$1,500.00","5","Credit Card","NetCommunity Donations","5/16/1995","$50.00","11/14/2024","$250.00"
"Individual","38728","51","New York","11/8/2021","$250.00","$250.00","331-Unrestricted","New Campaign","$1,500.00","5","Credit Card","","5/16/1995","$50.00","11/14/2024","$250.00"
"Individual","41997","50","New Jersey","1/23/2019","$100.00","$65.00","331-Unrestricted","New Campaign","$100.00","1","Credit Card","NetCommunity Event Registration Fees","5/19/2004","$100.00","1/23/2024","$200.00"
"Individual","384232","66","New Jersey","2/5/2023","$25.00","$25.00","331-Unrestricted","New Campaign","$100.85","4","Credit Card","NetCommunity Donations","5/21/2008","$10.00","2/7/2023","$25.00"
"Individual","384724","38","New Jersey","3/27/2022","$150.00","$150.00","331-Unrestricted","New Campaign","$252.56","2","Credit Card","NetCommunity Donations","10/22/2010","$50.00","3/27/2022","$150.00"
"Individual","15382","83","Illinois","1/15/2019","$625.00","$625.00","331-Unrestricted","New Campaign","$3,750.00","5","Credit Card","NetCommunity Donations","1/1/1960","$10.00","2/13/2024","$4,052.00"
"Individual","37895","","Massachusetts","8/23/2023","$1,000.00","$1,000.00","331-Unrestricted","New Campaign","$2,000.00","2","Credit Card","NetCommunity Donations","3/23/2000","$188.00","11/21/2024","$500.00"
"Individual","379833","","Connecticut","11/30/2022","$100.00","$100.00","331-Unrestricted","New Campaign","$500.00","5","Credit Card","NetCommunity Donations","6/22/2009","$50.00","11/28/2023","$100.00"
"Individual","380067","","New Jersey","8/30/2018","$500.00","$500.00","331-Unrestricted","New Campaign","$500.00","1","Credit Card","NetCommunity Donations","12/27/2013","$500.00","11/14/2024","$500.00"
"Individual","15522","69","New Jersey","10/11/2023","$50.00","$50.00","331-Unrestricted","New Campaign","$50.00","1","Credit Card","NetCommunity Donations","6/30/1991","$25.00","10/11/2023","$50.00"
"Individual","380531","76","New Jersey","9/17/2020","$100.00","$100.00","331-Unrestricted","New Campaign","$550.00","6","Credit Card","","2/9/2007","$100.00","9/28/2021","$100.00"
"Individual","380531","76","New Jersey","4/5/2020","$100.00","$100.00","331-Unrestricted","New Campaign","$550.00","6","Credit Card","NetCommunity Donations","2/9/2007","$100.00","9/28/2021","$100.00"
"Individual","380531","76","New Jersey","10/15/2019","$100.00","$100.00","331-Unrestricted","New Campaign","$550.00","6","Credit Card","NetCommunity Donations","2/9/2007","$100.00","9/28/2021","$100.00"
"Individual","380531","76","New Jersey","10/29/2018","$100.00","$100.00","331-Unrestricted","New Campaign","$550.00","6","Credit Card","NetCommunity Donations","2/9/2007","$100.00","9/28/2021","$100.00"
